date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:44	15476/15476	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/dream_home.html	C:/Yazar/rsave/rsave.in/dream_home.html	(from https://rsave.in/)
16:40:44	15480/15480	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/dream_car.html	C:/Yazar/rsave/rsave.in/dream_car.html	(from https://rsave.in/)
16:40:45	15623/15623	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/dream_vacation.html	C:/Yazar/rsave/rsave.in/dream_vacation.html	(from https://rsave.in/)
16:40:45	15652/15652	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:52%20GMT	https://rsave.in/retirement_planning.html	C:/Yazar/rsave/rsave.in/retirement_planning.html	(from https://rsave.in/)
16:40:45	15698/15698	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/family_protection.html	C:/Yazar/rsave/rsave.in/family_protection.html	(from https://rsave.in/)
16:40:46	15326/15326	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/custom_goal.html	C:/Yazar/rsave/rsave.in/custom_goal.html	(from https://rsave.in/)
16:40:46	14432/14432	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:52%20GMT	https://rsave.in/mutual_fund_forms.html	C:/Yazar/rsave/rsave.in/mutual_fund_forms.html	(from https://rsave.in/)
16:40:46	15506/15506	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/financial_calculators.html	C:/Yazar/rsave/rsave.in/financial_calculators.html	(from https://rsave.in/)
16:40:47	20150/20150	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/contact.html	C:/Yazar/rsave/rsave.in/contact.html	(from https://rsave.in/)
16:40:48	103405/103405	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Dec%202018%2018:38:38%20GMT	https://rsave.in/images/slider/slides/940x400/mutual-fund.png	C:/Yazar/rsave/rsave.in/images/slider/slides/940x400/mutual-fund.png	(from https://rsave.in/)
16:40:48	107319/107319	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Dec%202018%2018:39:58%20GMT	https://rsave.in/images/slider/slides/940x400/retirement-planning.png	C:/Yazar/rsave/rsave.in/images/slider/slides/940x400/retirement-planning.png	(from https://rsave.in/)
16:40:49	15449/15449	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:51:44%20GMT	https://rsave.in/image/1.jpg	C:/Yazar/rsave/rsave.in/image/1.jpg	(from https://rsave.in/)
16:40:49	12553/12553	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:51:56%20GMT	https://rsave.in/image/2.jpg	C:/Yazar/rsave/rsave.in/image/2.jpg	(from https://rsave.in/)
16:40:49	103732/103732	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Dec%202018%2018:35:36%20GMT	https://rsave.in/images/slider/slides/940x400/tax-planning.png	C:/Yazar/rsave/rsave.in/images/slider/slides/940x400/tax-planning.png	(from https://rsave.in/)
16:40:50	15893/15893	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:52:08%20GMT	https://rsave.in/image/3.jpg	C:/Yazar/rsave/rsave.in/image/3.jpg	(from https://rsave.in/)
16:40:50	9341/9341	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:52:28%20GMT	https://rsave.in/image/4.jpg	C:/Yazar/rsave/rsave.in/image/4.jpg	(from https://rsave.in/)
16:40:50	15278/15278	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/emi.html	C:/Yazar/rsave/rsave.in/emi.html	(from https://rsave.in/)
16:40:50	13514/13514	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Sep%202016%2020:13:44%20GMT	https://rsave.in/image/EMI1.jpg	C:/Yazar/rsave/rsave.in/image/EMI1.jpg	(from https://rsave.in/)
16:40:51	15284/15284	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/crorepati.html	C:/Yazar/rsave/rsave.in/crorepati.html	(from https://rsave.in/)
16:40:51	14361/14361	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Sep%202016%2020:13:32%20GMT	https://rsave.in/image/Crorepati_Calculator.jpg	C:/Yazar/rsave/rsave.in/image/Crorepati_Calculator.jpg	(from https://rsave.in/)
16:40:51	12417/12417	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:52:02%20GMT	https://rsave.in/image/5.jpg	C:/Yazar/rsave/rsave.in/image/5.jpg	(from https://rsave.in/)
16:40:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Dec%202023%2011:10:51%20GMT	https://rsave.in/child's_wedding_pla4nning.html	C:/Yazar/rsave/rsave.in/child's_wedding_pla4nning.html	(from https://rsave.in/)
16:40:52	14372/14372	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:51:50%20GMT	https://rsave.in/image/6.jpg	C:/Yazar/rsave/rsave.in/image/6.jpg	(from https://rsave.in/)
16:40:52	15072/15072	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:52:14%20GMT	https://rsave.in/image/7.jpg	C:/Yazar/rsave/rsave.in/image/7.jpg	(from https://rsave.in/)
16:40:53	17488/17488	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2022:52:20%20GMT	https://rsave.in/image/8.jpg	C:/Yazar/rsave/rsave.in/image/8.jpg	(from https://rsave.in/)
16:40:53	15374/15374	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:52%20GMT	https://rsave.in/sip.html	C:/Yazar/rsave/rsave.in/sip.html	(from https://rsave.in/)
16:40:54	14035/14035	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Sep%202016%2020:14:10%20GMT	https://rsave.in/image/SIP.jpg	C:/Yazar/rsave/rsave.in/image/SIP.jpg	(from https://rsave.in/)
16:40:54	15256/15256	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:50%20GMT	https://rsave.in/Fv.html	C:/Yazar/rsave/rsave.in/Fv.html	(from https://rsave.in/)
